Section_Number,Section_Name,Module_Number,Module_Name,Sub_Section_Name
6,Fixed Income,5,Credit Default Swaps,Important Features of CDS Markets
6,Fixed Income,5,Credit Default Swaps,Basics of Valuation and Pricing
6,Fixed Income,5,Credit Default Swaps,Applications of CDS
6,Fixed Income,5,Credit Default Swaps,Valuation Differences and Basis Trading
6,Fixed Income,5,Credit Default Swaps,Summary
6,Fixed Income,5,Credit Default Swaps,Review and Assess
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Introduction
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Carry Arbitrage
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Pricing Equity Forwards and Futures
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Pricing Fixed-Income Forward and Futures Contracts
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Pricing and Valuing Swap Contracts
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Pricing and Valuing Currency Swap Contracts
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Pricing and Valuing Equity Swap Contracts
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Summary
7,Derivatives,1,Pricing and Valuation of Forward Commitments,Review and Assess
7,Derivatives,2,Valuation of Contingent Claims,Introduction
7,Derivatives,2,Valuation of Contingent Claims,Binomial Option Valuation Model
7,Derivatives,2,Valuation of Contingent Claims,One-Period Binomial Model
7,Derivatives,2,Valuation of Contingent Claims,Two-Period Binomial Model: Call Options
7,Derivatives,2,Valuation of Contingent Claims,Two-Period Binomial Model: Put Options
7,Derivatives,2,Valuation of Contingent Claims,Two-Period Binomial Model: Role of Dividends
7,Derivatives,2,Valuation of Contingent Claims,Interest Rate Options and Multiperiod Model
7,Derivatives,2,Valuation of Contingent Claims,Black-Scholes-Merton (BSM) Option Valuation Model
7,Derivatives,2,Valuation of Contingent Claims,BSM Model: Components
7,Derivatives,2,Valuation of Contingent Claims,BSM Model: Carry Benefits and Applications
7,Derivatives,2,Valuation of Contingent Claims,Black Option Valuation Model and European Options on Futures
7,Derivatives,2,Valuation of Contingent Claims,Interest Rate Options
7,Derivatives,2,Valuation of Contingent Claims,Swaptions
7,Derivatives,2,Valuation of Contingent Claims,Option Greeks and Implied Volatility: Delta
7,Derivatives,2,Valuation of Contingent Claims,Gamma
7,Derivatives,2,Valuation of Contingent Claims,Theta
7,Derivatives,2,Valuation of Contingent Claims,Vega
7,Derivatives,2,Valuation of Contingent Claims,Rho
7,Derivatives,2,Valuation of Contingent Claims,Implied Volatility
7,Derivatives,2,Valuation of Contingent Claims,Summary
7,Derivatives,2,Valuation of Contingent Claims,Review and Assess
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Introduction
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Commodity Sectors
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Life Cycle of Commodities
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Valuation of Commodities
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Commodities Futures Markets: Participants
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Commodity Spot and Futures Pricing
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Theories of Futures Returns
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Components of Futures Returns
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,"Contango, Backwardation, and the Roll Return"
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Commodity Swaps
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Commodity Indexes
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Summary
8,Alternative Investments,1,Introduction to Commodities and Commodity Derivatives,Review and Assess
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Introduction
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Real Estate Investment Features
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Economic Value Drivers and Portfolio Characteristics of Real Estate Investments
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Commercial Property Investment Characteristics
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Real Estate Due Diligence and Valuation Approaches
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Real Estate Indexes
8,Alternative Investments,2,Overview of Types of Real Estate Investment,Review and Assess
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,Introduction
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,Types of Publicly Traded Real Estate Securities
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,Valuation: Net Asset Value Approach
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,Valuation: Relative Value (Price Multiple) Approach
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,REIT Mini Case Study: Example of Disclosures and Valuation Analysis
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,Private vs. Public: A Comparison
8,Alternative Investments,3,Investments in Real Estate through Publicly Traded Securities,Review and Assess
8,Alternative Investments,4,Hedge Fund Strategies,Introduction and Classification of Hedge Fund Strategies
8,Alternative Investments,4,Hedge Fund Strategies,Equity Strategies: Long/Short Equity
8,Alternative Investments,4,Hedge Fund Strategies,Equity Strategies: Dedicated Short Selling and Short-Biased
8,Alternative Investments,4,Hedge Fund Strategies,Equity Strategies: Equity Market Neutral
8,Alternative Investments,4,Hedge Fund Strategies,Event-Driven Strategies: Merger Arbitrage
8,Alternative Investments,4,Hedge Fund Strategies,Event-Driven Strategies: Distressed Securities
8,Alternative Investments,4,Hedge Fund Strategies,Relative Value Strategies: Fixed-Income Arbitrage
8,Alternative Investments,4,Hedge Fund Strategies,Relative Value Strategies: Convertible Bond Arbitrage
8,Alternative Investments,4,Hedge Fund Strategies,Opportunistic Strategies: Global Macro Strategies
8,Alternative Investments,4,Hedge Fund Strategies,Opportunistic Strategies: Managed Futures
8,Alternative Investments,4,Hedge Fund Strategies,Specialist Strategies
8,Alternative Investments,4,Hedge Fund Strategies,Multi-Manager Strategies
8,Alternative Investments,4,Hedge Fund Strategies,Analysis of Hedge Fund Strategies Using a Conditional Factor Risk Model
8,Alternative Investments,4,Hedge Fund Strategies,Evaluating Equity Hedge Fund Strategies: Application
8,Alternative Investments,4,Hedge Fund Strategies,Evaluating Multi-Manager Hedge Fund Strategies: Application
8,Alternative Investments,4,Hedge Fund Strategies,Portfolio Contribution of Hedge Fund Strategies
8,Alternative Investments,4,Hedge Fund Strategies,Summary
8,Alternative Investments,4,Hedge Fund Strategies,Review and Assess
9,Portfolio Management,1,Economics and Investment Markets,Introduction
9,Portfolio Management,1,Economics and Investment Markets,The Present Value Model
9,Portfolio Management,1,Economics and Investment Markets,Expectations and Asset Values
9,Portfolio Management,1,Economics and Investment Markets,The Discount Rate on Real Default-Free Bonds: Interest Rates
9,Portfolio Management,1,Economics and Investment Markets,The Discount Rate on Real Default-Free Bonds: Uncertainty and Risk Premiums
9,Portfolio Management,1,Economics and Investment Markets,The Discount Rate on Real Default-Free Bonds: Risk Premiums on Risky Assets
9,Portfolio Management,1,Economics and Investment Markets,Default-Free Interest Rates and Economic Growth
9,Portfolio Management,1,Economics and Investment Markets,Real Default-Free Interest Rates and the Business Cycle
9,Portfolio Management,1,Economics and Investment Markets,The Yield Curve and the Business Cycle
9,Portfolio Management,1,Economics and Investment Markets,Treasury Bills and the Business Cycle
9,Portfolio Management,1,Economics and Investment Markets,Conventional Government Bonds and Break-even Inflation Rates
9,Portfolio Management,1,Economics and Investment Markets,The Default-Free Yield Curve and the Business Cycle
9,Portfolio Management,1,Economics and Investment Markets,The Slope of the Yield Curve and the Term Spread
9,Portfolio Management,1,Economics and Investment Markets,Evidence on Risk Premiums for Default-Free Bonds
9,Portfolio Management,1,Economics and Investment Markets,Other Factors
9,Portfolio Management,1,Economics and Investment Markets,Credit Premiums and the Business Cycle
9,Portfolio Management,1,Economics and Investment Markets,Industry- and Company-Specific Credit Quality
9,Portfolio Management,1,Economics and Investment Markets,Sovereign Credit Risk
9,Portfolio Management,1,Economics and Investment Markets,Equities and the Equity Risk Premium
9,Portfolio Management,1,Economics and Investment Markets,Earnings Growth and the Economic Cycle
9,Portfolio Management,1,Economics and Investment Markets,How Big is the Equity Risk Premium?
9,Portfolio Management,1,Economics and Investment Markets,Valuation Multiples
9,Portfolio Management,1,Economics and Investment Markets,Commercial Real Estate
9,Portfolio Management,1,Economics and Investment Markets,Commercial Real Estate and the Business Cycle
9,Portfolio Management,1,Economics and Investment Markets,Summary
9,Portfolio Management,1,Economics and Investment Markets,Review and Assess
9,Portfolio Management,2,Analysis of Active Portfolio Management,Introduction
9,Portfolio Management,2,Analysis of Active Portfolio Management,Active Management and Value Added
9,Portfolio Management,2,Analysis of Active Portfolio Management,The Sharpe Ratio and The Information Ratio
9,Portfolio Management,2,Analysis of Active Portfolio Management,Constructing Optimal Portfolios
9,Portfolio Management,2,Analysis of Active Portfolio Management,Active Security Returns and The Fundamental Law of Active Management
9,Portfolio Management,2,Analysis of Active Portfolio Management,The Full Fundamental Law
9,Portfolio Management,2,Analysis of Active Portfolio Management,Applications of the Fundamental Law and Global Equity Strategy
9,Portfolio Management,2,Analysis of Active Portfolio Management,Fixed-Income Strategies
9,Portfolio Management,2,Analysis of Active Portfolio Management,Practical Limitations
9,Portfolio Management,2,Analysis of Active Portfolio Management,Summary
9,Portfolio Management,2,Analysis of Active Portfolio Management,Review and Assess
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,Introduction
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,ETF Mechanics
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,Understanding ETFs
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,ETF Risks
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,ETFs in Portfolio Management
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,Summary
9,Portfolio Management,3,Exchange-Traded Funds: Mechanics and Applications,Review and Assess
9,Portfolio Management,4,Using Multifactor Models,Background and Uses
9,Portfolio Management,4,Using Multifactor Models,Arbitrage Pricing Theory and Multifactor Models
9,Portfolio Management,4,Using Multifactor Models,Types of Multifactor Models
9,Portfolio Management,4,Using Multifactor Models,Macroeconomic Factor Models
9,Portfolio Management,4,Using Multifactor Models,Fundamental Factor Models
9,Portfolio Management,4,Using Multifactor Models,Factor Models in Return Attribution
9,Portfolio Management,4,Using Multifactor Models,Factor Models in Risk Attribution
9,Portfolio Management,4,Using Multifactor Models,Factor Models in Portfolio Construction
9,Portfolio Management,4,Using Multifactor Models,Factor Models in Strategic Portfolio Decisions
9,Portfolio Management,4,Using Multifactor Models,Summary
9,Portfolio Management,4,Using Multifactor Models,Review and Assess
9,Portfolio Management,5,Measuring and Managing Market Risk,Introduction
9,Portfolio Management,5,Measuring and Managing Market Risk,Estimating VaR
9,Portfolio Management,5,Measuring and Managing Market Risk,The Parametric Method of VaR Estimation
9,Portfolio Management,5,Measuring and Managing Market Risk,The Historical Simulation Method of VaR Estimation
9,Portfolio Management,5,Measuring and Managing Market Risk,The Monte Carlo Simulation Method of VaR Estimation
9,Portfolio Management,5,Measuring and Managing Market Risk,"Advantages, Limitations, and Extensions of VaR"
9,Portfolio Management,5,Measuring and Managing Market Risk,Other Key Risk Measures
9,Portfolio Management,5,Measuring and Managing Market Risk,Scenario Risk Measures
9,Portfolio Management,5,Measuring and Managing Market Risk,Sensitivity and Scenario Risk Measures and VaR
9,Portfolio Management,5,Measuring and Managing Market Risk,Using Constraints in Market Risk Management
9,Portfolio Management,5,Measuring and Managing Market Risk,Market Participants and the Risk Measures They Use
9,Portfolio Management,5,Measuring and Managing Market Risk,Pension Funds and Insurers
9,Portfolio Management,5,Measuring and Managing Market Risk,Summary
9,Portfolio Management,5,Measuring and Managing Market Risk,Review and Assess
9,Portfolio Management,6,Backtesting and Simulation,Introduction
9,Portfolio Management,6,Backtesting and Simulation,The Objectives of Backtesting
9,Portfolio Management,6,Backtesting and Simulation,The Backtesting Process
9,Portfolio Management,6,Backtesting and Simulation,Backtesting Multifactor Models
9,Portfolio Management,6,Backtesting and Simulation,Common Problems in Backtesting
9,Portfolio Management,6,Backtesting and Simulation,Historical Scenario Analysis
9,Portfolio Management,6,Backtesting and Simulation,Simulation Analysis
9,Portfolio Management,6,Backtesting and Simulation,Sensitivity Analysis
9,Portfolio Management,6,Backtesting and Simulation,Summary
9,Portfolio Management,6,Backtesting and Simulation,Review and Assess
10,Ethical and Professional Standards,1,Code of Ethics and Standards of Professional Conduct,Preface
10,Ethical and Professional Standards,1,Code of Ethics and Standards of Professional Conduct,Ethics and the Investment Industry
10,Ethical and Professional Standards,1,Code of Ethics and Standards of Professional Conduct,CFA Institute Code of Ethics and Standards of Professional Conduct
10,Ethical and Professional Standards,1,Code of Ethics and Standards of Professional Conduct,Review and Assess
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I: Professionalism
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(A): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(B) Independence and Objectivity
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(B): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(C) Misrepresentation
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(C): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(C): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(D) Misconduct
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(D): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(D): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(E) Competence
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(E): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard I(E): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard II: Integrity of Capital Markets
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard II(A): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard II(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard II(B) Market Manipulation
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard II(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III: Duties to Clients
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(A): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(B) Fair Dealing
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(B): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(C) Suitability
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(C): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(C): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(D) Performance Presentation
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(D): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(D): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(E) Preservation of Confidentiality
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(E): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard III(E): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV: Duties to Employers
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(A): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(B) Additional Compensation Arrangements
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(B): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(C) Responsibilities of Supervisors
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(C): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard IV(C): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,"Standard V: Investment Analysis, Recommendations, and Actions"
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(A): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(B) Communication with Clients and Prospective Clients
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(B): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(C) Record Retention
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(C): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard V(C): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI: Conflicts of Interest
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(B) Priority of Transactions
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(B): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(C) Referral Fees
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(C): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VI(C): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VII: Responsibilities as a CFA Institute Member or CFA Candidate
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VII(A): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,"Standard VII(B) Reference to CFA Institute, the CFA Designation, and the CFA Program"
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VII(B): Recommended Procedures
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Standard VII(B): Application of the Standard
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Review and Assess
10,Ethical and Professional Standards,2,Guidance for Standards I–VII,Real-World Applications: Bloomberg’s People Profiles
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Introduction
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Serengeti Advisory Services
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Banco Libertad
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,QuantHouse
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,"Jacobs, Riccio, and Associates"
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Magadi Asset Management
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Syyark
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Agarway
10,Ethical and Professional Standards,3,Application of the Code and Standards: Level II,Review and Assess
